,SVD_1,SVD_2,SVD_3,SVD_4,SVD_5,SVD_6,SVD_7,SVD_8,SVD_9,SVD_10,SVD_11,SVD_12,SVD_13,SVD_14,SVD_15,SVD_16,SVD_17,SVD_18,SVD_19,SVD_20,SVD_21,SVD_22,SVD_23,SVD_24,SVD_25
UK32A,136.0210416519859,35.37292392975195,256.54635101903364,232.35070532161603,1471.930550388991,-874.619827062561,798.2236988086903,-620.4551734610906,-252.62036278782404,-252.1642578492932,-197.58837605085336,181.4935996260354,-296.5607607472847,-25.726511875120995,-293.59696549453446,-30.47831540860129,-150.08273951869148,-469.27145173638064,-78.65969264551367,103.83279262231385,230.29889894671624,-113.22843211448188,-141.96339632094677,34.06629558515693,-730.4965161197762
UK33A,132.52123904776292,33.45448894948488,238.74177604749426,197.57011300762161,1343.1001717887862,-795.3256476229757,748.2480187788952,-546.1923927423917,-186.54333811405314,-243.27798462987187,-139.94651268002784,131.35137540169322,-241.19425970681547,-2.5591600696584367,-157.32655333527154,-112.09323601476791,-99.3694142449876,-498.1540957937159,-77.29556809403256,116.52401869934373,200.5369736512898,-97.4230086215138,-136.753133838488,69.00155652712375,-747.2673187331281
UK34A,131.46606723441892,28.498072110328827,200.90585811439612,163.04142504567344,1144.3797248470194,-696.2693832439872,646.557298637263,-404.00231545471564,-132.23545031310996,-169.12118767468183,-179.85146027629156,96.6118523630683,-217.98926317908527,27.98428685120487,-121.0334254914649,-116.92380124416096,-52.06425041468318,-462.03055384448453,-43.44951764672156,67.48342650570832,115.784273173629,-86.92852715358617,-133.25060457965515,130.78917550615913,-616.5969439366504
UK35A,207.57259503085712,52.33707246782409,427.9251834427425,484.8468307839695,2551.000986399017,-1588.596416928814,1453.8989616418244,-1318.7802600868367,-598.7167413769814,-525.573719753238,-129.4632417482066,288.61348806273685,-86.25463037710671,-52.41038851145159,-213.65751071828706,1.2551441562387473,-358.8987756464767,171.8890391841951,-135.09616391100354,287.9271184307396,271.68454860203525,48.108643857351495,-222.7920050708243,-139.3380849157308,-688.2254214313738
UK36A,196.49800628188714,54.687378176392585,461.3262494421826,430.2168786977211,2622.0256742802285,-1694.5046066406085,1583.3640666535684,-1406.044950788797,-731.2712524467051,-578.6392332432033,-256.6458155250915,452.1696238347141,-210.34336537602135,-76.17159660478826,-645.3886701466224,229.10939144239572,-343.8876891249441,-95.41885225293977,-202.64083474456422,334.41642514608475,407.32319868041714,-20.25438776781023,-132.04139487844887,-290.43916939103394,-839.4106843467216
UK37A,227.28247982772055,56.236211648527075,452.7175464669142,482.7849594410049,2709.127269164297,-1722.60657309476,1598.115372791653,-1386.0427784337705,-677.6175990632827,-549.9647429096282,-217.23828121450103,390.1972982769353,-105.60370387960835,-45.87583360915264,-460.5291579601473,220.87662843174414,-359.3488467828162,248.12505649585995,-166.51594388523094,282.9100790021798,421.6963196589741,-84.5701895887125,-270.23709854488453,-123.87579992061906,-819.1556490416209
UK38A,196.75820428382303,46.459767360670135,397.5748031911144,393.8079047334365,2327.755701666995,-1420.1172273209743,1367.1052512712597,-1183.0825712267829,-627.7713559570124,-448.32016192131357,-236.85669666882475,379.25893782724904,-153.38459091084565,-52.20425549285451,-554.2275930951503,284.2105613384813,-268.6222420634648,96.6843640600786,-152.49801678505438,223.33442884069203,373.96976629091256,-103.8487500594661,-197.31455946921807,-104.32401255610537,-630.1942379236549
UK39A,225.8828606746862,48.77397121984065,404.342513241437,466.22419309483206,2461.811546317579,-1498.7075141862565,1416.927225954099,-1221.4336641165442,-605.8658650784245,-464.8570996333038,-201.26625278559194,346.5091440217376,-46.163461096092085,-37.28022861103431,-398.4542454307204,281.73586319029624,-381.1041171611355,464.6987885282786,-123.00040165342448,184.92385458168823,403.0165532939854,-140.40002787249358,-306.64508101485455,2.9901674693991183,-587.0024489245415
UK40A,180.60408519003113,46.287622903996876,338.6012890308473,380.57992928212997,1966.1741869838118,-1203.0171524015498,1116.3389827260864,-924.9284620915387,-367.9857147065483,-325.56738894297763,-186.59680882071592,225.1108257302238,-49.797857027240866,47.51076036293935,-192.5335060910126,83.50235796940055,-324.09940319943416,270.2295469637807,-48.28330783297498,68.5402689957977,253.96712247210408,-150.1020205203907,-280.78558891872393,140.15671667699525,-542.9789350839923
UK41A,189.61679253029126,53.64251980128084,342.5720888816337,430.9201522848347,2095.2473686461126,-1307.8277489231778,1183.5805708239811,-991.046691505918,-357.8708783845729,-344.7796740298067,-194.30315130224247,241.44366864992307,0.2573051969552062,59.01468955914165,-150.65847952151526,92.91074637249409,-375.76617881271983,424.12263828037356,-34.40635868547032,56.11203216411028,258.4441792885769,-137.05428211463544,-332.37160779879764,210.91715774409113,-503.20291496472544
